"Biomarker.IDs","Biomarker.Names"
"HGNC:6528","LCP1"
"HGNC:1686","CD53"
"HGNC:9666","PTPRC"
"HGNC:18304","COTL1"
"HGNC:2561","CXCR4"
"HGNC:4374","GMFG"
"HGNC:3611","FCER1G"
"HGNC:29612","LAPTM5"
"HGNC:9361","SRGN"
"HGNC:1804","CD52"
"HGNC:3318","ELF3"
"HGNC:2570","CYB5A"
"HGNC:6446","KRT8"
"HGNC:6436","KRT19"
"HGNC:11530","TACSTD2"
"HGNC:7508","MUC1"
"HGNC:18901","S100A14"
"HGNC:19232","CXCL17"
"N/A","PTRF"
"HGNC:2047","CLDN5"
"HGNC:633","AQP1"
"HGNC:8823","PECAM1"
"HGNC:7899","NPDC1"
"HGNC:12726","VWF"
"HGNC:4403","GNG11"
"HGNC:9844","RAMP2"
"HGNC:5476","IGFBP7"
"HGNC:19832","CLEC14A"
"HGNC:12011","TPM2"
"HGNC:2705","DCN"
"HGNC:7060","MGP"
"HGNC:11219","SPARC"
"HGNC:1441","CALD1"
"HGNC:6724","LUM"
"HGNC:2198","COL1A2"
"HGNC:1247","C1S"
"HGNC:11241","SPI1"
"HGNC:6561","LGALS1"
"HGNC:13375","MS4A6A"
"HGNC:12449","TYROBP"
"HGNC:352","AIF1"
"HGNC:1639","CD2"
"HGNC:4708","GZMA"
"HGNC:1695","CD7"
"HGNC:2252","CORO1A"
"HGNC:16830","IL32"
"N/A","SEPP1"
"HGNC:13395","NAPSA"
"HGNC:10803","SFTPD"
"HGNC:28319","PEBP4"
"HGNC:11020","SLC34A2"
"HGNC:18386","SFTA2"
"HGNC:18387","SFTA3"
"HGNC:17637","PERP"
"HGNC:5471","IGFBP2"
"HGNC:20657","TSPAN1"
"HGNC:19349","KIF21A"
"HGNC:4626","GSTA1"
"HGNC:2644","CYP4B1"
"HGNC:9845","RAMP3"
"HGNC:11220","SPARCL1"
"HGNC:1044","BGN"
"HGNC:2211","COL6A1"
"HGNC:2770","DES"
"HGNC:11181","SOD3"
"HGNC:15754","MYL9"
"HGNC:12010","TPM1"
"HGNC:17700","CCL28"
"HGNC:8993","PIP"
"HGNC:30456","ZG16B"
"HGNC:23400","SEC11C"
"HGNC:7142","MARCKSL1"
"N/A","SELM"
"HGNC:11652","TCN1"
"HGNC:910","AZGP1"
"HGNC:9249","PPFIBP1"
"HGNC:10620","CCL21"
"N/A","SDPR"
"HGNC:11853","TM4SF1"
"HGNC:35454","ECSCR"
"HGNC:1835","CEBPD"
"HGNC:49447","LINC01133"
"HGNC:14487","MRPL33"
"HGNC:1037","CFB"
"HGNC:1191","EID1"
"HGNC:5141","HP"
"HGNC:2557","CUX1"
"HGNC:14046","MRPS21"
"HGNC:1242","C1QB"
"HGNC:1241","C1QA"
"HGNC:2547","CTSZ"
"HGNC:2537","CTSL"
"HGNC:1245","C1QC"
"HGNC:10630","CCL4"
"HGNC:2479","CST7"
"HGNC:4414","GNLY"
"HGNC:2546","CTSW"
"HGNC:4709","GZMB"
"HGNC:20862","SLC39A8"
"HGNC:6421","KRT15"
"HGNC:10773","SFN"
"HGNC:8824","SERPINF1"
"HGNC:24043","ADIRF"
"HGNC:7405","MT1X"
"HGNC:6722","BCAM"
