"Cell.IDs","Cell.Names"
"CL:0000057","Fibroblast"
"CL:0000113","Cycling Mononuclear Phagocyte"
"CL:0000235","M2 Macrophage"
"CL:0000359","Vascular Smooth Muscle / Pericyte"
"CL:0000451","Classical Dendritic"
"CL:0000542","Natural Killer T"
"CL:0000650","Mesangial"
"CL:0000738","Immune"
"CL:0000784","Plasmacytoid Dendritic"
"CL:0000785","B"
"CL:000084","T"
"CL:0002201","Intercalated Type B"
"CL:0002573","Schwann / Neural"
"CL:0005009","Principal"
"CL:0005010","Intercalated"
"CL:0005011","Cortical Collecting Duct Intercalated Type A"
"CL:1000547","Inner Medullary Collecting Duct"
"CL:1000597","Papillary Tip Epithelial"
