"Biomarker.IDs","Biomarker.Names"
"HGNC:2545","CTSS"
"HGNC:30815","NEAT1"
"HGNC:6740","LYZ"
"HGNC:9498","PSAP"
"HGNC:352","AIF1"
"HGNC:7183","MNDA"
"HGNC:8941","SERPINA1"
"HGNC:12449","TYROBP"
"HGNC:1678","CD4"
"HGNC:6541","LDHB"
"HGNC:12022","TPT1"
"HGNC:11879","TMSB10"
"HGNC:1675","CD3G"
"HGNC:1707","CD8B"
"HGNC:16977","HCST"
"HGNC:53378","LINC02446"
"HGNC:2546","CTSW"
"HGNC:1674","CD3E"
"HGNC:3611","FCER1G"
"HGNC:1677","CD247"
"HGNC:13342","KLRF1"
"HGNC:1698","CD79A"
"HGNC:30279","RALGPS2"
"HGNC:1699","CD79B"
"HGNC:18233","BANK1"
"HGNC:1697","CD74"
"HGNC:17755","TNFRSF13C"
"HGNC:4942","HLA-DQA1"
"HGNC:6996","MEF2C"
"HGNC:26021","LYAR"
"HGNC:4938","HLA-DPA1"
"HGNC:25523","CCDC88A"
"HGNC:4947","HLA-DRA"
"HGNC:4934","HLA-DMA"
"HGNC:4944","HLA-DQB1"
"HGNC:4948","HLA-DRB1"
"HGNC:18153","TNFRSF13B"
"HGNC:5480","IGHD"
"HGNC:357","AIM2"
"HGNC:52673","LINC01857"
"HGNC:2180","COCH"
"HGNC:11322","SSPN"
"HGNC:29585","TEX9"
"HGNC:52571","LINC01781"
"HGNC:2561","CXCR4"
"HGNC:1130","BTG1"
"HGNC:2428","YBX3"
"HGNC:5479","IGHA2"
"HGNC:30125","MZB1"
"HGNC:11913","TNFRSF17"
"HGNC:14236","DERL3"
"HGNC:21073","TXNDC5"
"HGNC:9211","POU2AF1"
"HGNC:2318","CPNE5"
"N/A","HRASLS2"
"HGNC:25717","NT5DC2"
"HGNC:29451","FGFBP2"
"HGNC:6153","ITGB1"
"HGNC:914","B2M"
"HGNC:11639","TCF7"
"HGNC:1608","CCR7"
"HGNC:3701","FHIT"
"HGNC:6551","LEF1"
"HGNC:17946","NOSIP"
