"Organ","Cell.Type","Cell.Type.ID","Annotation.Level","Num.Cells"
"motor_cortex","Astro","CL:0000127",2,568
"motor_cortex","Astro L1-6 FGFR3 AQP1","CL:0000127",3,119
"motor_cortex","Astro L1-6 FGFR3 PLCG1","CL:0000127",3,377
"motor_cortex","Astro L1 FGFR3 SERPINI2","CL:0000127",3,72
"motor_cortex","Astro_1","CL:0000127",4,191
"motor_cortex","Astro_2","CL:0000127",4,377
"motor_cortex","Chandelier","CL:0000617",4,69
"motor_cortex","Endo","CL:0000115",4,64
"motor_cortex","Endo L2-5 NOSTRIN SRGN","CL:0000115",3,64
"motor_cortex","Exc L2-3 LINC00507 DSG3","CL:0000679",3,87
"motor_cortex","Exc L2-3 RORB CCDC68","CL:0000679",3,281
"motor_cortex","Exc L2-3 RORB PTPN3","CL:0000679",3,118
"motor_cortex","Exc L2-3 RORB RTKN2","CL:0000679",3,107
"motor_cortex","Exc L2 LAMP5 KCNG3","CL:0000679",3,16
"motor_cortex","Exc L2 LINC00507 ATP7B","CL:0000679",3,16
"motor_cortex","Exc L2 LINC00507 GLRA3","CL:0000679",3,1057
"motor_cortex","Exc L3-5 FEZF2 ASGR2","CL:0000679",3,620
"motor_cortex","Exc L3-5 FEZF2 LINC01107","CL:0000679",3,88
"motor_cortex","Exc L3-5 RORB LAMA4","CL:0000679",3,36
"motor_cortex","Exc L3-5 RORB LINC01202","CL:0000679",3,108
"motor_cortex","Exc L3-5 RORB LNX2","CL:0000679",3,662
"motor_cortex","Exc L3-5 RORB RPRM","CL:0000679",3,196
"motor_cortex","Exc L3-5 RORB TNNT2","CL:0000679",3,92
"motor_cortex","Exc L3 LAMP5 CARM1P1","CL:0000679",3,318
"motor_cortex","Exc L3 RORB OTOGL","CL:0000679",3,296
"motor_cortex","Exc L3 THEMIS ENPEP","CL:0000679",3,100
"motor_cortex","Exc L5-6 FEZF2 C9orf135-AS1","CL:0000679",3,1416
"motor_cortex","Exc L5-6 FEZF2 CFTR","CL:0000679",3,102
"motor_cortex","Exc L5-6 FEZF2 FILIP1L","CL:0000679",3,154
"motor_cortex","Exc L5-6 FEZF2 IFNG-AS1","CL:0000679",3,753
