"Organ","Cell.Types","Num.Cells"
"kidney","Afferent / Efferent Arteriole Endothelial",682
"kidney","Ascending Thin Limb",5295
"kidney","Ascending Vasa Recta Endothelial",5054
"kidney","B",662
"kidney","Classical Dendritic",114
"kidney","Connecting Tubule",8457
"kidney","Connecting Tubule Intercalated Type A",83
"kidney","Connecting Tubule Principal",957
"kidney","Cortical Collecting Duct Intercalated Type A",5239
"kidney","Cortical Collecting Duct Principal",4562
"kidney","Cortical Thick Ascending Limb",8410
"kidney","Cortical Vascular Smooth Muscle / Pericyte",914
"kidney","Cycling Mononuclear Phagocyte",94
"kidney","Descending Thin Limb",3817
"kidney","Descending Thin Limb Type 1",3048
"kidney","Descending Thin Limb Type 2",1802
"kidney","Descending Thin Limb Type 3",2784
"kidney","Descending Vasa Recta Endothelial ",3676
"kidney","Distal Convoluted Tubule",7436
"kidney","Distal Convoluted Tubule Type 1",3440
"kidney","Distal Convoluted Tubule Type 2",278
"kidney","Endothelial",8627
"kidney","Fibroblast",10140
"kidney","Glomerular Capillary Endothelial",2082
"kidney","Immune",4512
"kidney","Inner Medullary Collecting Duct",8190
"kidney","Intercalated",4362
"kidney","Intercalated Type B",1536
"kidney","Lymphatic Endothelial",246
"kidney","M2 Macrophage",2526
"kidney","Macula Densa",2090
"kidney","Mast",218
"kidney","Medullary Fibroblast",9174
"kidney","Medullary Thick Ascending Limb",8320
"kidney","Mesangial",400
"kidney","Monocyte-derived",1606
"kidney","Natural Killer T",422
"kidney","Neutrophil",116
"kidney","Non-classical monocyte",326
"kidney","Outer Medullary Collecting Duct Intercalated Type A",1866
"kidney","Outer Medullary Collecting Duct Principal",1788
"kidney","Papillary Tip Epithelial",966
"kidney","Parietal Epithelial",1581
"kidney","Peritubular Capilary Endothelial ",5514
"kidney","Plasma",196
"kidney","Plasmacytoid Dendritic",62
"kidney","Podocyte",3084
"kidney","Principal",7270
"kidney","Proximal Tubule",7830
"kidney","Proximal Tubule Epithelial Segment 1",8814
"kidney","Proximal Tubule Epithelial Segment 2",2710
"kidney","Proximal Tubule Epithelial Segment 3",4136
"kidney","Renin-positive Juxtaglomerular Granular",68
"kidney","Schwann",35
"kidney","Schwann / Neural",70
"kidney","T",2682
"kidney","Thick Ascending Limb",9410
"kidney","Vascular Smooth Muscle / Pericyte",4300
