"fetal_development cell types as anatomical structures from Azimuth reference data",,,,,,
,,,,,,
"Author Name(s):","Azimuth & MC-IU",,,,,
"Author ORCID(s):",,,,,,
"Reviewer(s):",,,,,,
"General Publication(s):",,,,,,
"Data DOI:",,,,,,
"Date:","10/26/21",,,,,
"Version Number:","v1.0",,,,,
,,,,,,
"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","AS/2/COUNT"
"Adrenocortical cells",,,"Adrenal-Adrenocortical cells",,,5000
"Chromaffin cells",,,"Adrenal-Chromaffin cells",,,5000
"CSH1_CSH2 positive cells",,,"Adrenal-CSH1_CSH2 positive cells",,,93
"Erythroblasts",,,"Adrenal-Erythroblasts",,,2750
"Lymphoid cells",,,"Adrenal-Lymphoid cells",,,633
"Megakaryocytes",,,"Adrenal-Megakaryocytes",,,931
"Myeloid cells",,,"Adrenal-Myeloid cells",,,2389
"Schwann cells",,,"Adrenal-Schwann cells",,,981
"SLC26A4_PAEP positive cells",,,"Adrenal-SLC26A4_PAEP positive cells",,,68
"Stromal cells",,,"Adrenal-Stromal cells",,,5000
"Sympathoblasts",,,"Adrenal-Sympathoblasts",,,3805
"Vascular endothelial cells",,,"Adrenal-Vascular endothelial cells",,,5000
"Astrocytes",,,"Cerebellum-Astrocytes",,,5000
"Granule neurons",,,"Cerebellum-Granule neurons",,,5000
"Inhibitory interneurons",,,"Cerebellum-Inhibitory interneurons",,,5000
"Microglia",,,"Cerebellum-Microglia",,,4428
"Oligodendrocytes",,,"Cerebellum-Oligodendrocytes",,,5000
"Purkinje neurons",,,"Cerebellum-Purkinje neurons",,,5000
"SLC24A4_PEX5L positive cells",,,"Cerebellum-SLC24A4_PEX5L positive cells",,,5000
"Unipolar brush cells",,,"Cerebellum-Unipolar brush cells",,,5000
"Vascular endothelial cells",,,"Cerebellum-Vascular endothelial cells",,,5000
"Astrocytes",,,"Cerebrum-Astrocytes",,,5000
"Excitatory neurons",,,"Cerebrum-Excitatory neurons",,,5000
"Inhibitory neurons",,,"Cerebrum-Inhibitory neurons",,,5000
"Limbic system neurons",,,"Cerebrum-Limbic system neurons",,,5000
"Megakaryocytes",,,"Cerebrum-Megakaryocytes",,,36
"Microglia",,,"Cerebrum-Microglia",,,4459
"Oligodendrocytes",,,"Cerebrum-Oligodendrocytes",,,5000
"SKOR2_NPSR1 positive cells",,,"Cerebrum-SKOR2_NPSR1 positive cells",,,5000
"Vascular endothelial cells",,,"Cerebrum-Vascular endothelial cells",,,5000
"Amacrine cells",,,"Eye-Amacrine cells",,,5000
"Astrocytes",,,"Eye-Astrocytes",,,181
"Bipolar cells",,,"Eye-Bipolar cells",,,1207
"Corneal and conjunctival epithelial cells",,,"Eye-Corneal and conjunctival epithelial cells",,,104
"Ganglion cells",,,"Eye-Ganglion cells",,,5000
"Horizontal cells",,,"Eye-Horizontal cells",,,2300
"Lens fibre cells",,,"Eye-Lens fibre cells",,,246
"Microglia",,,"Eye-Microglia",,,88
"PDE11A_FAM19A2 positive cells",,,"Eye-PDE11A_FAM19A2 positive cells",,,806
"Photoreceptor cells",,,"Eye-Photoreceptor cells",,,5000
"Retinal pigment cells",,,"Eye-Retinal pigment cells",,,704
"Retinal progenitors and Muller glia",,,"Eye-Retinal progenitors and Muller glia",,,5000
