"","Label","Expanded Label","OBO Ontology ID","Markers"
"14","Astro_1","Astrocyte_1","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","Gfap,  Aqp4,  Myoc,  Pla2g7,  Igfbp5,  Id4,  Mlc1,  Ntsr2,  Sdc4,  Gja1"
"11","Astro_2","Astrocyte_2","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","Slc1a2,  Gpc5,  Wdr17,  Htra1,  Slc1a3,  Acsl3,  Plpp3,  Msi2,  Dtna,  Gabrb1"
"16","Chandelier","Chandelier neuron","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Pthlh,  Pde3a,  Mctp2,  Kit,  Unc5b,  Epb41l4a,  Mme,  4933432K03Rik,  Gm44129,  A830036E02Rik"
"5","Endo","Endothelial cell","[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115)","Flt1,  Sgms1,  Adgrl4,  Slc2a1,  Slco1a4,  Bsg,  Klf2,  Ptprg,  Sptbn1,  Mecom"
"36","L2/3 IT","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Celf2,  Rgs6,  Lingo2,  Dab1,  Slit3,  Lrrtm4,  Camk2a,  Dscaml1,  Cnksr2,  2010300C02Rik"
"24","L5 ET_1","Layer 5 glutamatergic neuron, extratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Fam19a1,  Cdh13,  Gm2164,  Kcnt2,  Gm19410,  Mgat4c,  Sgcz,  Nav3,  Ntng1,  Pex5l"
"40","L5 ET_2","Layer 5 glutamatergic neuron, extratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Npnt,  Vwc2l,  Lgr5,  Tshz2,  Col8a1,  Gm26883,  Slc26a4,  Erg,  Trpc7,  Gm2164"
"17","L5 IT_1","Layer 5 glutamatergic neuron, intratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Ptprd,  Lrrc4c,  Car10,  Brinp3,  Celf2,  Cux2,  R3hdm1,  Kcnip4,  Fhod3,  Kcnh5"
"41","L5 IT_2","Layer 5 glutamatergic neuron, intratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Il1rapl2,  Iqgap2,  AC129186.1,  Fras1,  Grik3,  Scube1,  Deptor,  Dgkb,  A830036E02Rik,  Sdk2"
"43","L5 IT_3","Layer 5 glutamatergic neuron, intratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Grp,  Nxph1,  Col12a1,  Gm26883,  Slit1,  Wls,  Gm28905,  Gpc6,  Tshz2,  Tox"
"21","L5/6 NP","Layer 5-6 glutamatergic neuron, near-projecting","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Olfm3,  Kirrel3,  Vwc2l,  Grik1,  Tshz2,  Kcnip1,  Dcc,  Lrrc4c,  Gm26883,  Adcy2"
"1","L6 CT_1","Layer 6 glutamatergic neuron, corticothalamic-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Hs3st4,  Shisa6,  Gm28928,  Sulf2,  Cdh18,  Bmpr1b,  Zfpm2,  Nrxn1,  Khdrbs3,  Foxp2"
"4","L6 CT_2","Layer 6 glutamatergic neuron, corticothalamic-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Foxp2,  Kctd16,  Hs3st4,  Ppp3ca,  Garnl3,  Nrgn,  Zfpm2,  Edil3,  Nos1ap,  Khdrbs3"
"26","L6 IT_1","Layer 6 glutamatergic neuron, intratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Nell2,  Fst,  Il1rapl2,  Negr1,  C1ql3,  Brinp3,  Satb2,  Plcxd3,  Bmpr1b,  Pou6f2"
"20","L6 IT_2","Layer 6 glutamatergic neuron, intratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Ak5,  Pcdh7,  Nell2,  Dcc,  Cdh9,  Pcsk2,  Cplx2,  Rasgef1b,  Chrm2,  C1ql3"
"19","L6 IT_3","Layer 6 glutamatergic neuron, intratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Tfap2d,  Nr2f2,  Oprk1,  Gm45623,  Smoc2,  Gm15825,  Car12,  4930555F03Rik,  Nr4a2,  Lxn"
"2","L6b","Layer 6b glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Ctgf,  Inpp4b,  Cdh18,  Tmem163,  AC124490.1,  Kcnab1,  Mmp16,  Kcnip4,  Erc2,  Cplx3"
"42","Lamp5_1","Lamp5+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Kit,  Nxph1,  Ndnf,  Luzp2,  Gm30835,  Grin2a,  Ndst4,  Pde11a,  Unc5c,  Lamp5"
"29","Lamp5_2","Lamp5+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Nyap2,  Unc5d,  Alk,  Grin2a,  Fgf13,  Gad2,  Asph,  Rims1,  Htr1f,  Lamp5"
"22","Lamp5_3","Lamp5+ GABAergic neuron_3","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Dchs2,  Lhx6,  Nos1,  Cntnap3,  B020031H02Rik,  Gm45680,  Ackr3,  Tacr1,  Cntnap4,  Lamp5"
"28","Lamp5_4","Lamp5+ GABAergic neuron_4","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Col14a1,  Luzp2,  Pax6,  Asph,  Frem1,  Ralyl,  Tnfaip8l3,  Dpy19l1,  Pnoc,  Lamp5"
"27","Lamp5_5","Lamp5+ GABAergic neuron_5","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","Reln,  Sorcs1,  Cxcl14,  Npas3,  Rxfp1,  Nrg1,  Ndst4,  Galntl6,  Nr2f2,  Lamp5"
"6","Microglia/PVM","microglia / perivascular macrophage","[perivascular macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000881)","Inpp5d,  Zfhx3,  Elmo1,  Srgap2,  Ccnd3,  Tgfbr1,  Mef2a,  Hexb,  Tanc2,  Pag1"
"12","Oligo_1","oligodendrocyte_1","[oligodendrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000128)","Prr5l,  Tmem117,  Plp1,  Enpp6,  Anln,  Tln2,  Mobp,  St18,  Selenop,  Mog"
"15","Oligo_2","oligodendrocyte_2","[oligodendrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000128)","Pde4b,  Ptgds,  Mbp,  Erbb4,  Plp1,  Il33,  St18,  Kirrel3,  Mobp,  Nkain2"
"25","OPC","oligodendrocyte precursor cell","[oligodendrocyte precursor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002453)","Lhfpl3,  Tnr,  Vcan,  Dscam,  Epn2,  Xylt1,  Ptprz1,  Gm4876,  Pdgfra,  Cacng4"
