"","Label","OBO Ontology ID","Markers"
"1","Adventitial Fibroblast","[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057)","FBLN1, C3, CCDC80, DCN, SFRP2, IGFBP6, SCARA5, PIK3R1, LAMA2, USP53"
"2","Alveolar Epithelial Type 1","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","EMP2, AGER, LMO7, GPRC5A, RTKN2, ARHGEF26, LAMA3, DST, SPOCK2, SCEL"
"3","Alveolar Fibroblast","[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057)","A2M, SCN7A, GPC3, ADH1B, MYH10, RARRES2, LUM, AOC3, C7, CFD"
"4","B","[B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000236)","MS4A1, BANK1, LINC00926, CD79A, BLK, CD79B, CD22, SP140, VPREB3, ADAM28"
"5","CD4+ Memory/Effector T","[CD4-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000624)","CD2, CD3D, CD96, IL7R, ITK, PTPRC, CD3E, MALAT1, PDCD4, GPR171"
"6","Ciliated","[ciliated cell](http://purl.obolibrary.org/obo/CL_0000064)","RSPH1, FANK1, CDHR3, CAPS, C20orf85, FAM92B, MS4A8, MALAT1, ANKRD36C, SLCO3A1"
"7","Classical Monocyte","[classical monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000860)","S100A9, S100A8, S100A12, VCAN, FCN1, MNDA, FPR1, SELL, ZFP36L2, MYO1F"
"8","Lymphatic","[lymphatic vessel](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001473)","CCL21, MMRN1, PROX1, PPFIBP1, TBX1, TFF3, PKHD1L1, IGFBP7, TIMP3, TFPI"
"9","Macrophage","[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235)","ACP5, MARCO, OLR1, APOC1, MSR1, VSIG4, CYP27A1, SLCO2B1, GPD1, ITGAX"
"10","Natural Killer","[natural killer cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000623)","NKG7, PRF1, KLRF1, CD247, GNLY, PYHIN1, KLRD1, TXK, SPON2, SH2D1B"
"11","Plasma","[plasma cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000786)","MZB1, DERL3, SEC11C, XBP1, TNFRSF17, SSR4, POU2AF1, HSP90B1, PRDX4, MANF"
"12","Alveolar Epithelial Type 2","[type II pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002063)","NAPSA, SFTPD, ABCA3, SFTPA1, SFTPA2, SFTPB, SLC34A2, MAP7D1, GPRC5A, CLDN1"
"13","OLR1+ Classical Monocyte","[classical monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000860)","IL1B, SOD2, CXCL8, G0S2, EREG, CCL20, SRGN, CXCL3, CXCL2, C15orf48"
"14","Capillary","[capillary](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001982)","FCN3, EPAS1, RAMP3, CDH5, PODXL, BTNL9, IL7R, CD81, ATP6V0B, THBD"
"15","Club","[club cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000158)","SCGB3A2, SFTPB, CYB5A, PIGR, C16orf89, CTSE, KIAA1324, CEACAM6, WFDC2, DSTN"
