"","Label","Expanded Label","OBO Ontology ID","Markers"
"1","ASDC_mDC","AXL+ myeloid dendritic cell","[myeloid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000782)","AXL, LILRA4, SCN9A, CLEC4C, LTK, PPP1R14A, LGMN, SCT, IL3RA, GAS6"
"2","ASDC_pDC","AXL+ plasmacytoid dendritic cell","[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784)","LILRA4, CLEC4C, SCT, EPHB1, AXL, PROC, LRRC26, SCN9A, LTK, DNASE1L3"
"3","B intermediate kappa","Intermediate B cell, kappa light chain","[mature B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)","MS4A1, IGKC, IGHM, LINC01857, MARCKS, IGHD, TNFRSF13B, CD24, FCRL2, BANK1"
"4","B intermediate lambda","Intermediate B cell, lambda light chain","[mature B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785)","MS4A1, IGLC2, IGHM, CD79A, IGLC3, IGHD, BANK1, TNFRSF13C, CD22, TNFRSF13B"
"5","B memory kappa","Memory B cell, kappa light chain","[memory B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000787)","BANK1, IGKC, LINC01781, MS4A1, SSPN, CD79A, RALGPS2, TNFRSF13C, LINC00926"
"6","B memory lambda","Memory B cell, lambda light chain","[memory B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000787)","BANK1, IGLC2, MS4A1, IGLC3, COCH, TNFRSF13C, IGHA2, BLK, TNFRSF13B, LINC01781"
"7","B naive kappa","Naive B cell, kappa light chain","[naive B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000788)","IGHM, TCL1A, IGHD, IGHG3, CD79A, IL4R, CD37, MS4A1, IGKC"
"8","B naive lambda","Naive B cell, lambda light chain","[naive B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000788)","IGHM, IGLC2, IGHD, IGLC3, CD79A, CXCR4, MS4A1, IL4R, TCL1A, CD79B"
"9","CD14 Mono","CD14+ Monocyte","[CD14-positive, CD16-negative classical monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002057)","S100A9, CTSS, LYZ, CTSD, S100A8, VCAN, CD14, FCN1, S100A12, MS4A6A"
"10","CD16 Mono","CD16+ Monocyte","[CD14-low, CD16-positive monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002396)","LST1, YBX1, AIF1, FCGR3A, NAP1L1, MS4A7, FCER1G, TCF7L2, COTL1, CDKN1C"
"11","CD4 CTL","CD4+ Cytotoxic T","[CD4-positive, alpha-beta cytotoxic T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000934)","GZMH, CD4, GNLY, FGFBP2, IL7R, S100A4, GZMA, CST7, IL32, CCL5"
"12","CD4 Naive","CD4+ Naive T","[naive thymus-derived CD4-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000895)","TCF7, CD4, NUCB2, LDHB, TRAT1, SARAF, FHIT, LEF1, CCR7, IL7R"
"13","CD4 Proliferating","CD4+ Proliferating T","[activated CD4-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000896)","MKI67, TYMS, PCLAF, TOP2A, CENPF, NUSAP1, CENPM, BIRC5, ZWINT, TPX2"
"14","CD4 TCM_1","CD4+ Central Memory T_1","[CD4-positive, alpha-beta memory T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000897)","LTB, CD4, FYB1, IL7R, LIMS1, MAL, TMSB4X, TSHZ2, AP3M2, TRAC"
"15","CD4 TCM_2","CD4+ Central Memory T_2","[CD4-positive, alpha-beta memory T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000897)","CTLA4, MIR4435-2HG, TMSB4X, CD28, CDCA7, TMSB10, MAF, ITM2A, TRAC, CD27"
"16","CD4 TCM_3","CD4+ Central Memory T_3","[CD4-positive, alpha-beta memory T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000897)","IL7R, ITGB1, LTB, S100A4, AQP3, TNFRSF4, IL32, TOB1, PDE4D, HOPX"
