"","Label","Expanded Label","OBO Ontology ID","Markers"
"14","Astro_1","Astrocyte_1","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","GFAP, FAM189A2, FGFR3, GJA1, SLC14A1, AGT, ID3, RASL12, AQP4, ANGPTL4"
"11","Astro_2","Astrocyte_2","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","FGFR3, GJA1, SLCO1C1, LINC00982, SDC4, NFATC4, GJB6, PRODH, APOE, SLC1A3"
"16","Chandelier","Chandelier neuron","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","NPNT, COL15A1, PLEKHH2, NOG, PTHLH, ADAMTS5, COL21A1, FAM19A4, HTR1F, SRGAP1"
"5","Endo","Endothelial cell","[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115)","EBF1, CLDN5, ABCG2, FLI1, LEF1, IFI27, EMCN, HLA-E, ID3, XAF1"
"36","L2/3 IT","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","PDZD2, CBLN2, MEIS2, CUX2, KIAA1217, ENC1, DAB1, PVRL3, GNAL, LRRTM4"
"24","L5 ET_1","Layer 5 glutamatergic neuron, extratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","OR51E2, SORCS1, LINC00922, SEMA6D, FAM84B, TMEM2, LINC01036, ST6GALNAC3, VIM-AS1, PQLC2L"
"40","L5 ET_2","Layer 5 glutamatergic neuron, extratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","BTNL9, EDNRB, SGCZ, LINC00943, VWC2L, HBE1, PCDH11X, TRAPPC3L, CDH8, LINC01069"
"17","L5 IT_1","Layer 5 glutamatergic neuron, intratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","RORB, SEMA6D, POU6F2, TMEM196, PLCH1, ALCAM, RMST, CUX1, DCC, TRHDE"
"41","L5 IT_2","Layer 5 glutamatergic neuron, intratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","CHN2, LRRK1, CAMK2D, FSTL4, PDE1C, DNAH6, PCDH7, PRUNE2, ARSJ, TMSB10"
"43","L5 IT_3","Layer 5 glutamatergic neuron, intratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","HS3ST3B1, RORB, HES1, CSGALNACT1, CRH, PDZRN3, DRD5, CCDC85A, ARHGAP15, TNNT2"
"21","L5/6 NP","Layer 5-6 glutamatergic neuron, near-projecting","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","NPSR1-AS1, CBLN2, FER1L6-AS2, LUZP2, TLL1, KIAA1217, CALCRL, TLE4, HTR2C, PDE9A"
"1","L6 CT_1","Layer 6 glutamatergic neuron, corticothalamic-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","SYT6, FAM189A1, VWA2, SPON1, KL, ASTN2, SEMA5A, WBSCR17, ABO, LGR6"
"4","L6 CT_2","Layer 6 glutamatergic neuron, corticothalamic-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","VWA2, ERBB4, ABO, PRKD1, SH2D1B, ZNF804B, IL4R, ROBO2, DCHS2, ADAMTSL1"
"26","L6 IT_1","Layer 6 glutamatergic neuron, intratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","LINC00343, TENM3, WISP1, CDH13, ANKRD30B, MEIS2, FRMD6, RASGRF2, TTC6, SEC24D"
"20","L6 IT_2","Layer 6 glutamatergic neuron, intratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","SH2D1B, EDIL3, TMEM244, CNTN5, ADAMTS16, PDE1A, MYO1D, TSHZ2, ANO3, PXDN"
"19","L6 IT_3","Layer 6 glutamatergic neuron, intratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","SMYD1, KCNMB2, OLFML2B, RGS12, NR4A2, SLC24A4, LINC00331, RNF152, GAS2L3, PRLR"
"2","L6b","Layer 6b glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","ZFHX3, C10orf11, MDFIC, MARCH1, SEMA3D, ARSJ, GRIA4, MCTP2, KCNMB2, CTGF"
"42","Lamp5_1","Lamp5+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","NDNF, UNC13C, CPLX3, PCDH9, MYH11, CLSTN2, LINC00298, TMEM132D, FAT1, LAMP5"
"29","Lamp5_2","Lamp5+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","KIT, NTNG1, FBXL7, TOX, NXPH2, NCAM2, PKP2, PTPRG, HAPLN1, LAMP5"
"22","Lamp5_3","Lamp5+ GABAergic neuron_3","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","PDGFD, ITGA8, EYA4, CHST9, SFRP1, SORCS1, KIRREL, UNC5D, PDGFRA, LAMP5"
"28","Lamp5_4","Lamp5+ GABAergic neuron_4","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","SP8, SPHKAP, CDH23, MYO16, NTF3, NXPH1, TGFBR2, ALK, DKFZp686K1684, LAMP5"
"27","Lamp5_5","Lamp5+ GABAergic neuron_5","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","NDNF, COL5A2, CXCL14, HS6ST3, NMBR, ALCAM, BMP6, EPHA6, FAT1, LAMP5"
"6","Microglia/PVM","microglia / perivascular macrophage","[perivascular macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000881)","DOCK8, P2RY12, APBB1IP, FYB, TBXAS1, SLCO2B1, CX3CR1, PTPRC, BLNK, CSF1R"
"12","Oligo_1","oligodendrocyte_1","[oligodendrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000128)","S100B, RBFOX1, COL4A5, RASGRF1, CARNS1, COL18A1, MOG, USH1C, ABCA8, FOLH1"
"15","Oligo_2","oligodendrocyte_2","[oligodendrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000128)","PLP1, LINC00609, ENPP2, PLXDC2, UGT8, OPALIN, BCAS1, NLGN1, CERCAM, DOCK5"
"25","OPC","oligodendrocyte precursor cell","[oligodendrocyte precursor cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002453)","OLIG1, COL9A1, OLIG2, SNX22, NKAIN4, KLRC4-KLRK1, GPR17, VCAN, COL20A1, GPR37L1"
"9","Pvalb_1","Pvalb+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","ADAMTS17, GULP1, BTBD11, DPP10, RNF144B, THSD7B, CNTNAP3, TENM4, TMEM132C, PVALB"
"18","Pvalb_2","Pvalb+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","WNT16, SHISA8, MYBPC1, PALMD, FAM150B, TRPC6, GPR149, ANKRD34B, GABRG1, PVALB"
"37","Sncg_1","Sncg+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","LINC01539, SORCS1, DYNAP, DSCAM, SP8, PROX1, CHRFAM7A, PDE7B, HIF3A, SNCG"
"23","Sncg_2","Sncg+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","SLC17A8, YJEFN3, DOCK8, ARHGAP6, IGFBP7, RYR2, FREM2, PCLO, CDH23, SNCG"
"13","Sncg_3","Sncg+ GABAergic neuron_3","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","HTR3A, GRM1, VWA5B1, SYNPR, HGFAC, HDAC9, SLITRK6, PTPRM, PLSCR5, SNCG"
"39","Sncg_4","Sncg+ GABAergic neuron_4","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","RXRG, ARPP21, NDNF, SYNPR, NR2F2, FAM19A1, GNG12, THSD7A, ADAM33, SNCG"
"8","Sst Chodl","Sst+ Chodl+ GABAergic neuron","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","NPY, FAM46A, STAC, LINC01014, ANAPC1P1, OTOF, DSP, AOX1, SST, CHODL"
"44","Sst_1","Sst+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","EDNRA, QRFPR, LINC01324, NELL1, PAWR, CDH9, RCAN3, GRIN3A, FLT3, SST"
"10","Sst_2","Sst+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","FAM89A, EPHA6, TPH2, HS6ST3, RCAN3, HTR4, FLT3, VWC2, NMU, SST"
