"","Label","Expanded Label","OBO Ontology ID","Markers"
"1","Astro L1 FGFR3 SERPINI2","FGFR3+ SERPINI2+ Layer 1 astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","GFAP, PDE4D, ID3, CTNNA2, FGFR3, GRM3, GJA1, TMEM132C, ETNPPL, SERPINI2"
"2","Astro L1-6 FGFR3 AQP1","FGFR3+ AQP1+ Layer 1-6 astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","GFAP, TNC, GJA1, ADAMTSL3, RASL12, LINC00609, ANGPTL4, FGFR3, AQP1"
"3","Astro L1-6 FGFR3 PLCG1","FGFR3+ PLCG1+ Layer 1-6 astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","FGFR3, HPSE2, GJA1, PLCB1, SLCO1C1, COL5A3, ETNPPL, NDRG2, PRODH, PLCG1"
"4","Endo L2-5 NOSTRIN SRGN","NOSTRIN+ SRGN+ Layer 2-5 endothelial cell","[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115)","EBF1, CLDN5, ABCG2, FLI1, LEF1, IFI27, EMCN, HLA-E, NOSTRIN, SRGN"
"5","Exc L2 LAMP5 KCNG3","LAMP5+ KCNG3+ Layer 2 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","SEMA3C, PARD3, GRM1, SPON1, TMEM196, PALMD, LINGO2, ADRA1A, LAMP5, KCNG3"
"6","Exc L2 LINC00507 ATP7B","LINC00507+ ATP7B+ Layer 2 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","OR1J2, KCNK2, ACVR1C, SEMA5A, BDNF, ITGB8, CHRM2, RASAL1, LINC00507, ATP7B"
"7","Exc L2 LINC00507 GLRA3","LINC00507+ GLRA3+ Layer 2 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","LRRTM4, MAN1A1, LINC01378, DMD, ENC1, KIAA1217, DGKB, SLIT3, LINC00507, GLRA3"
"8","Exc L2-3 LINC00507 DSG3","LINC00507+ DSG3+ Layer 2-3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","BDNF, BMPR1B, ADCYAP1, SV2C, NOX4, CBLN2, SERPINE2, DLGAP1, LINC00507, DSG3"
"9","Exc L2-3 RORB CCDC68","RORB+ CCDC68+ Layer 2-3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","COL5A2, LRRC4C, RORB, PTPRZ1, NTNG1, LINGO2, VIPR2, CNTNAP5, COBLL1, CCDC68"
"10","Exc L2-3 RORB PTPN3","RORB+ PTPN3+ Layer 2-3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","RORB, GRIA1, COL5A2, PEX5L, RMST, GRM1, NTNG1, GULP1, POU6F2, PTPN3"
"11","Exc L2-3 RORB RTKN2","RORB+ RTKN2+ Layer 2-3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","RMST, GALNT13, COL5A2, ROBO1, ZBTB7C, STXBP6, SCHLAP1, EPHA6, RORB, RTKN2"
"12","Exc L3 LAMP5 CARM1P1","LAMP5+ CARM1P1+ Layer 3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","SV2C, RYR2, SYT2, SLC38A11, BMPR1B, FMN1, MOXD1, PLXDC2, LAMP5, CARM1P1"
"13","Exc L3 RORB OTOGL","RORB+ OTOGL+ Layer 3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","COL22A1, LINCR-0002, PLCH1, RMST, DPP10, TSHZ2, NCAM2, RORB, CPNE4, OTOGL"
"14","Exc L3 THEMIS ENPEP","THEMIS+ ENPEP+ Layer 3 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","THEMIS, ITPR2, LAMA2, ASIC2, FAP, KIAA1217, LDB2, PPARGC1A, GAP43, ENPEP"
"15","Exc L3-5 FEZF2 ASGR2","FEZF2+ ASGR2+ Layer 3-5 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","OR51E2, SORCS1, LINC00922, LINGO2, ERG, SEMA6D, GFRA1, RASAL2, FEZF2, ASGR2"
"16","Exc L3-5 FEZF2 LINC01107","FEZF2+ LINC01107+ Layer 3-5 glutamatergic neuron","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","OR51E2, BTNL9, SGCZ, EDNRB, VWC2L, ADGRG6, PCDH11X, LINC00922, FEZF2, LINC01107"
