"","Label","Expanded Label","OBO Ontology ID","Markers"
"20","Astro Aqp4_Gfap","Aqp4+ Gfap+ Astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","Gpc5,  Myoc,  Slc1a2,  Fxyd6,  Slc1a3,  Nrp2,  Slc6a6,  Apoe,  Aqp4,  Gfap"
"14","Astro Aqp4_Slc7a10","Aqp4+ Slc7a10+ Astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","Lsamp,  Gpc5,  Slc1a2,  Luzp2,  Slc1a3,  Apoe,  Cadm2,  Rora,  Aqp4,  Slc7a10"
"114","Astro_Top2a","Top2a+ Astrocyte","[astrocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000127)","Igfbpl1,  Gpc5,  Mki67,  Slc1a2,  Myt1,  Slc1a3,  Apoe,  E2f2,  E2f7,  Top2a"
"7","Endo","Endothelial cell","[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115)","Flt1,  Slco1a4,  Adgrl4,  Ly6c1,  Slc2a1,  Klf2,  Mecom,  Bsg,  Ly6a,  Pltp"
"86","L2/3 IT_1","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Adamts2,  Lingo2,  6530403H02Rik,  Dscaml1,  Gpc6,  Rhbdl3,  5730522E02Rik,  Fam19a1,  Arhgef28,  Lrrtm4"
"90","L2/3 IT_2","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Cntnap5c,  Lingo2,  Epha6,  Dscaml1,  Fras1,  Gpc6,  Fam19a1,  Cdh13,  Lrrtm4,  Lsamp"
"72","L2/3 IT_3","Layer 2-3 glutamatergic neuron, intratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Lingo2,  Cdh12,  Dscaml1,  Sorcs3,  Gpc6,  Cntn4,  Fam19a1,  Pcdh9,  Sorcs1,  Lrrtm4"
"58","L5 ET_1","Layer 5 glutamatergic neuron, extratelencephalon-projecting_1","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","St6galnac5,  Fam19a1,  Tox,  St6galnac3,  Pigk,  Sgcz,  Robo1,  Crym,  Galntl6,  Zfp804b"
"91","L5 ET_2","Layer 5 glutamatergic neuron, extratelencephalon-projecting_2","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Fam19a1,  Vwc2l,  Tshz2,  Tox,  Sgcz,  Gm26883,  Erg,  Robo1,  Cdh18,  Galntl6"
"33","L5 ET_3","Layer 5 glutamatergic neuron, extratelencephalon-projecting_3","[glutamatergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000679)","Fam19a1,  Gpc5,  Tox,  Galnt17,  Lingo2,  Sgcz,  Stxbp6,  Robo1,  Spock1,  Galntl6"
